transaction_id,store,date,quantity,flavour,sales
I8E3E8V3Z8,Main Street,2020/01/01,3,vanilla,4.77
J4W2T4H2F4,The Arcade,2020/01/01,4,pistachio,7.96
J7J9L7M9O7,Main Street,2020/01/01,2,chocolate,3.98
K9Q2K9A2C9,Ice Cream Bazaar,2020/01/01,1,blueberry,1.99
L2Z1M2M1W2,The Arcade,2020/01/01,3,blueberry,5.97
L3A2B3X2S3,The Arcade,2020/01/01,3,strawberry,4.77
L5I0U5G0R5,The Arcade,2020/01/01,3,vanilla,4.77
L5J1A5V1A5,Evergreen Market,2020/01/01,3,pistachio,5.97
L8Y2S8D2X8,Main Street,2020/01/01,4,blueberry,7.96
M4S2C4U2G4,The Arcade,2020/01/01,4,blueberry,7.96
M6F1F6T1T6,Evergreen Market,2020/01/01,4,blueberry,7.96
M6J2L6C2L6,Evergreen Market,2020/01/01,2,vanilla,3.18
M7Z0H7A0A7,Main Street,2020/01/01,1,blueberry,1.99
N0X6Z0Z6L0,The Arcade,2020/01/01,4,blueberry,7.96
N1C5W1X5M1,Main Street,2020/01/01,4,strawberry,6.36
N2T7K2M7C2,Main Street,2020/01/01,1,pistachio,1.99
N6G3U6X3E6,The Arcade,2020/01/01,3,blueberry,5.97
N8K1D8J1G8,The Arcade,2020/01/01,4,strawberry,6.36
O1L1R1C1V1,Evergreen Market,2020/01/01,1,pistachio,1.99
O2T4Q2P4B2,Main Street,2020/01/01,1,caramel,1.99
O9P8I9A8R9,The Arcade,2020/01/01,3,blueberry,5.97
P2F4X2V4F2,Ice Cream Bazaar,2020/01/01,3,chocolate,5.97
P8M6I8O6Q8,Evergreen Market,2020/01/01,2,pistachio,3.98
Q3N9R3C9U3,Evergreen Market,2020/01/01,3,strawberry,4.77
Q3P7Q3O7H3,The Arcade,2020/01/01,4,caramel,7.96
R2Y1Y2U1K2,Main Street,2020/01/01,4,blueberry,7.96
R3I5I3F5I3,Main Street,2020/01/01,1,pistachio,1.99
R3Z2U3F2I3,Ice Cream Bazaar,2020/01/01,1,pistachio,1.99
S0Q3N0J3S0,The Arcade,2020/01/01,1,blueberry,1.99
S2L0O2C0Y2,Evergreen Market,2020/01/01,4,strawberry,6.36
T4V5I4V5Y4,Evergreen Market,2020/01/01,4,vanilla,6.36
T7S5D7J5H7,Evergreen Market,2020/01/01,1,vanilla,1.59
U1Y4R1U4R1,Evergreen Market,2020/01/01,1,vanilla,1.59
U6I1W6D1K6,Evergreen Market,2020/01/01,3,strawberry,4.77
U8Z6P8D6V8,Main Street,2020/01/01,1,pistachio,1.99
V6E6I6B6Z6,The Arcade,2020/01/01,1,pistachio,1.99
V6P9I6O9K6,Main Street,2020/01/01,4,caramel,7.96
W0F3M0X3J0,The Arcade,2020/01/01,4,caramel,7.96
W2P2L2B2H2,Ice Cream Bazaar,2020/01/01,1,strawberry,1.59
W7H2O7T2I7,The Arcade,2020/01/01,3,pistachio,5.97
X0D1E0S1U0,Ice Cream Bazaar,2020/01/01,3,pistachio,5.97
X1A2B1X2Y1,Evergreen Market,2020/01/01,1,chocolate,1.99
X4O3J4T3I4,Main Street,2020/01/01,2,pistachio,3.98
X6I1T6W1Z6,Evergreen Market,2020/01/01,2,chocolate,3.98
X6V3W6Q3O6,Ice Cream Bazaar,2020/01/01,1,vanilla,1.59
X7H2U7K2M7,Evergreen Market,2020/01/01,4,pistachio,7.96
X9R3Z9X3E9,Main Street,2020/01/01,1,chocolate,1.99
Y0K4F0Q4Z0,The Arcade,2020/01/01,1,caramel,1.99
Y0P8P0J8E0,Evergreen Market,2020/01/01,3,pistachio,5.97
Y1O5S1L5K1,Evergreen Market,2020/01/01,2,vanilla,3.18
Y5E4G5Z4N5,Ice Cream Bazaar,2020/01/01,1,pistachio,1.99
Z5L8Q5L8Y5,Ice Cream Bazaar,2020/01/01,2,blueberry,3.98
Z8N4W8R4W8,Evergreen Market,2020/01/01,3,caramel,5.97
A0U1G0G1G0,Ice Cream Bazaar,2020/01/02,3,pistachio,5.97
A1M7B1U7W1,Main Street,2020/01/02,4,blueberry,7.96
A2B7G2J7Q2,Main Street,2020/01/02,3,chocolate,5.97
A5Q4S5G4O5,Evergreen Market,2020/01/02,1,strawberry,1.59
A7Z4D7S4Q7,Ice Cream Bazaar,2020/01/02,1,vanilla,1.59
A8V5M8X5S8,Evergreen Market,2020/01/02,1,strawberry,1.59
B0Z1J0A1H0,Ice Cream Bazaar,2020/01/02,4,strawberry,6.36
B3D3D3Z3Y3,Evergreen Market,2020/01/02,3,pistachio,5.97
B4W3K4A3Z4,Ice Cream Bazaar,2020/01/02,1,chocolate,1.99
B5M5H5R5I5,The Arcade,2020/01/02,2,blueberry,3.98
B9R2P9K2D9,Evergreen Market,2020/01/02,1,pistachio,1.99
C2G9G2F9K2,Main Street,2020/01/02,4,chocolate,7.96
C2O4Z2S4Y2,The Arcade,2020/01/02,1,strawberry,1.59
C9Q1C9U1Z9,Main Street,2020/01/02,3,vanilla,4.77
D0H9V0Y9L0,The Arcade,2020/01/02,2,strawberry,3.18
D0N4D0N4U0,Main Street,2020/01/02,1,caramel,1.99
D7M2R7R2Z7,Main Street,2020/01/02,2,blueberry,3.98
E1O8W1U8E1,Main Street,2020/01/02,3,vanilla,4.77
E1W1X1T1Q1,The Arcade,2020/01/02,4,blueberry,7.96
E3B9Y3F9M3,Evergreen Market,2020/01/02,1,caramel,1.99
F2Q8G2Y8H2,Evergreen Market,2020/01/02,4,blueberry,7.96
F2Z2M2A2L2,Ice Cream Bazaar,2020/01/02,1,strawberry,1.59
F7Y1Z7V1F7,Main Street,2020/01/02,1,caramel,1.99
F8G0O8X0I8,Main Street,2020/01/02,3,chocolate,5.97
G2K0G2C0M2,Ice Cream Bazaar,2020/01/02,1,caramel,1.99
G9Z6I9A6I9,The Arcade,2020/01/02,1,chocolate,1.99
H0V6C0E6Q0,The Arcade,2020/01/02,2,blueberry,3.98
H1B7V1I7D1,Evergreen Market,2020/01/02,1,blueberry,1.99
H4M2T4W2G4,The Arcade,2020/01/02,4,pistachio,7.96
H5F0O5G0X5,Main Street,2020/01/02,2,blueberry,3.98
H9L3E9B3E9,Main Street,2020/01/02,1,blueberry,1.99
I3W8E3P8L3,Ice Cream Bazaar,2020/01/02,4,caramel,7.96
I5Q8K5E8S5,Evergreen Market,2020/01/02,2,caramel,3.98
I7B6Q7R6F7,Ice Cream Bazaar,2020/01/02,3,blueberry,5.97
J0O1H0W1M0,Evergreen Market,2020/01/02,1,caramel,1.99
K1G4M1E4A1,Evergreen Market,2020/01/02,4,chocolate,7.96
K2H5Q2L5O2,Ice Cream Bazaar,2020/01/02,2,pistachio,3.98
K2O4C2A4K2,The Arcade,2020/01/02,2,caramel,3.98
K2P7S2C7J2,Main Street,2020/01/02,4,vanilla,6.36
K6U2R6B2Z6,Main Street,2020/01/02,2,pistachio,3.98
L0U7I0A7N0,The Arcade,2020/01/02,4,caramel,7.96
L0Y6X0R6K0,Evergreen Market,2020/01/02,3,vanilla,4.77
L0Z6X0W6P0,Ice Cream Bazaar,2020/01/02,4,blueberry,7.96
L2V7A2A7T2,The Arcade,2020/01/02,3,strawberry,4.77
L8S5F8V5V8,Main Street,2020/01/02,2,blueberry,3.98
M4Y9E4W9O4,Evergreen Market,2020/01/02,4,pistachio,7.96
M5V5O5S5F5,The Arcade,2020/01/02,1,strawberry,1.59
O0E9U0M9F0,The Arcade,2020/01/02,2,blueberry,3.98
O1O8B1Q8B1,The Arcade,2020/01/02,1,chocolate,1.99
O4J3E4T3U4,Main Street,2020/01/02,2,blueberry,3.98
O4W5C4J5W4,Evergreen Market,2020/01/02,4,strawberry,6.36
O5T2P5R2K5,Ice Cream Bazaar,2020/01/02,4,vanilla,6.36
O9K8J9K8O9,The Arcade,2020/01/02,4,pistachio,7.96
P1V6Q1G6Z1,Ice Cream Bazaar,2020/01/02,1,pistachio,1.99
P8G5G8R5A8,Evergreen Market,2020/01/02,2,vanilla,3.18
P9V8L9U8I9,Evergreen Market,2020/01/02,4,pistachio,7.96
Q0Z2L0H2G0,Ice Cream Bazaar,2020/01/02,2,caramel,3.98
Q1E9O1T9V1,Evergreen Market,2020/01/02,2,blueberry,3.98
Q1O7X1S7R1,Main Street,2020/01/02,1,vanilla,1.59
Q4M6H4A6W4,Ice Cream Bazaar,2020/01/02,1,blueberry,1.99
Q5O6C5I6P5,Ice Cream Bazaar,2020/01/02,2,caramel,3.98
Q8N2T8C2N8,The Arcade,2020/01/02,1,blueberry,1.99
R3Y1K3C1J3,The Arcade,2020/01/02,1,caramel,1.99
S3D5S3P5Z3,The Arcade,2020/01/02,4,chocolate,7.96
S4U9A4B9O4,Ice Cream Bazaar,2020/01/02,1,blueberry,1.99
T1C1B1X1T1,The Arcade,2020/01/02,1,strawberry,1.59
T3F9G3G9G3,Evergreen Market,2020/01/02,1,strawberry,1.59
U8M9V8O9Q8,Ice Cream Bazaar,2020/01/02,4,chocolate,7.96
V1Z1R1Y1W1,Evergreen Market,2020/01/02,4,chocolate,7.96
V3J0E3Y0M3,Main Street,2020/01/02,3,strawberry,4.77
V4S3C4D3S4,Main Street,2020/01/02,4,chocolate,7.96
V7B0M7S0H7,Main Street,2020/01/02,2,chocolate,3.98
W1L2G1N2M1,The Arcade,2020/01/02,1,pistachio,1.99
W2U2F2H2T2,Evergreen Market,2020/01/02,2,pistachio,3.98
W5P0Y5T0G5,Ice Cream Bazaar,2020/01/02,4,caramel,7.96
X0W5Q0N5R0,Main Street,2020/01/02,3,caramel,5.97
X3B5A3U5Q3,The Arcade,2020/01/02,1,chocolate,1.99
X4D3N4R3N4,Main Street,2020/01/02,3,pistachio,5.97
Y3Q8S3Q8S3,Ice Cream Bazaar,2020/01/02,2,chocolate,3.98
Y6A3V6H3Z6,Main Street,2020/01/02,2,blueberry,3.98
Y6Q8S6E8E6,Main Street,2020/01/02,1,caramel,1.99
Y6V8J6M8Q6,The Arcade,2020/01/02,1,strawberry,1.59
Y9F7I9M7G9,Main Street,2020/01/02,4,chocolate,7.96
Y9Y5S9Q5S9,The Arcade,2020/01/02,3,pistachio,5.97
Z2I2V2W2J2,The Arcade,2020/01/02,2,strawberry,3.18
Z8L4X8K4P8,Ice Cream Bazaar,2020/01/02,3,caramel,5.97
A3K9M3R9U3,The Arcade,2020/01/03,4,strawberry,6.36
A5O5R5T5S5,Ice Cream Bazaar,2020/01/03,2,chocolate,3.98
B1M5P1J5Y1,Main Street,2020/01/03,3,pistachio,5.97
B1V6H1G6O1,The Arcade,2020/01/03,3,blueberry,5.97
C0Q6N0U6C0,Ice Cream Bazaar,2020/01/03,3,chocolate,5.97
C3P1F3L1P3,Main Street,2020/01/03,4,blueberry,7.96
C5W9W5L9G5,Main Street,2020/01/03,1,strawberry,1.59
C7I7J7I7F7,Ice Cream Bazaar,2020/01/03,2,blueberry,3.98
D0B4G0X4L0,Ice Cream Bazaar,2020/01/03,3,vanilla,4.77
D0U4V0G4K0,Main Street,2020/01/03,4,blueberry,7.96
D8D7Q8P7G8,Main Street,2020/01/03,4,chocolate,7.96
D8G6S8Q6Z8,Ice Cream Bazaar,2020/01/03,2,pistachio,3.98
F2I6I2C6J2,Evergreen Market,2020/01/03,4,vanilla,6.36
F2R9P2H9C2,Evergreen Market,2020/01/03,1,chocolate,1.99
F7R5X7Z5N7,Main Street,2020/01/03,2,caramel,3.98
F7T3L7X3C7,Ice Cream Bazaar,2020/01/03,2,strawberry,3.18
F8N2G8C2M8,The Arcade,2020/01/03,2,vanilla,3.18
G7T8T7E8O7,Ice Cream Bazaar,2020/01/03,4,blueberry,7.96
G8B6Q8W6H8,Main Street,2020/01/03,4,vanilla,6.36
G8G7V8Z7S8,Ice Cream Bazaar,2020/01/03,2,strawberry,3.18
H2A9P2Q9A2,Ice Cream Bazaar,2020/01/03,1,blueberry,1.99
H6L9B6X9F6,Evergreen Market,2020/01/03,2,vanilla,3.18
H6Q8H6L8A6,The Arcade,2020/01/03,2,pistachio,3.98
I3A2E3V2C3,Ice Cream Bazaar,2020/01/03,4,strawberry,6.36
I8G2C8T2G8,Evergreen Market,2020/01/03,4,pistachio,7.96
J2W3Z2O3U2,Ice Cream Bazaar,2020/01/03,4,chocolate,7.96
J3P0A3V0T3,The Arcade,2020/01/03,2,caramel,3.98
J3Y3T3F3O3,The Arcade,2020/01/03,2,strawberry,3.18
J5B2N5D2V5,Ice Cream Bazaar,2020/01/03,4,pistachio,7.96
J7F6P7V6P7,Evergreen Market,2020/01/03,1,strawberry,1.59
J9J4C9A4J9,Evergreen Market,2020/01/03,3,blueberry,5.97
K6D5S6X5T6,Ice Cream Bazaar,2020/01/03,2,caramel,3.98
K9L7B9A7G9,Main Street,2020/01/03,1,blueberry,1.99
L0X9S0U9K0,Main Street,2020/01/03,3,chocolate,5.97
L2F8H2C8Q2,Main Street,2020/01/03,1,caramel,1.99
L9Y4M9U4F9,Evergreen Market,2020/01/03,2,chocolate,3.98
M4R9Q4M9Q4,The Arcade,2020/01/03,4,pistachio,7.96
M8U3C8P3X8,Ice Cream Bazaar,2020/01/03,2,pistachio,3.98
N0J3H0Q3E0,Main Street,2020/01/03,4,vanilla,6.36
N1M6G1I6B1,Ice Cream Bazaar,2020/01/03,3,vanilla,4.77
N3W0I3Z0V3,The Arcade,2020/01/03,1,vanilla,1.59
N4E7L4U7B4,The Arcade,2020/01/03,1,strawberry,1.59
N6P1T6G1I6,Main Street,2020/01/03,2,chocolate,3.98
N6Z0P6K0J6,The Arcade,2020/01/03,3,vanilla,4.77
N9W4R9E4J9,Main Street,2020/01/03,2,caramel,3.98
O0T0P0N0Q0,The Arcade,2020/01/03,2,vanilla,3.18
O1L5Q1T5X1,Evergreen Market,2020/01/03,2,caramel,3.98
O2N9B2X9H2,Evergreen Market,2020/01/03,1,caramel,1.99
O3O0U3C0U3,Main Street,2020/01/03,3,caramel,5.97
O6S8C6K8P6,Evergreen Market,2020/01/03,1,caramel,1.99
O8X6Y8I6W8,Main Street,2020/01/03,1,blueberry,1.99
P1K5O1E5Q1,Main Street,2020/01/03,1,chocolate,1.99
P3C1D3M1F3,Ice Cream Bazaar,2020/01/03,3,blueberry,5.97
P4X6F4K6L4,Ice Cream Bazaar,2020/01/03,4,blueberry,7.96
P5M3Y5Y3F5,The Arcade,2020/01/03,4,chocolate,7.96
Q1E3A1U3Q1,Evergreen Market,2020/01/03,3,chocolate,5.97
Q1I2J1B2U1,Ice Cream Bazaar,2020/01/03,4,chocolate,7.96
Q3T2K3Y2S3,Evergreen Market,2020/01/03,1,blueberry,1.99
Q4W7L4Q7A4,The Arcade,2020/01/03,1,chocolate,1.99
Q8J5Q8O5Z8,Ice Cream Bazaar,2020/01/03,2,caramel,3.98
Q9A9X9Q9C9,Main Street,2020/01/03,4,caramel,7.96
R3N2X3B2M3,The Arcade,2020/01/03,1,strawberry,1.59
R7H9L7P9S7,Main Street,2020/01/03,3,pistachio,5.97
R8C9T8S9A8,Ice Cream Bazaar,2020/01/03,3,blueberry,5.97
R9C7J9D7C9,Evergreen Market,2020/01/03,1,chocolate,1.99
R9N9H9U9S9,The Arcade,2020/01/03,4,caramel,7.96
S1P5U1Y5F1,Ice Cream Bazaar,2020/01/03,2,strawberry,3.18
S5J7Q5O7T5,The Arcade,2020/01/03,3,chocolate,5.97
S5Q2A5X2D5,Main Street,2020/01/03,3,chocolate,5.97
S7Z1G7L1X7,The Arcade,2020/01/03,2,vanilla,3.18
T8P2F8R2Z8,Main Street,2020/01/03,3,pistachio,5.97
U0O4E0B4V0,Ice Cream Bazaar,2020/01/03,4,blueberry,7.96
U1R4H1B4S1,Ice Cream Bazaar,2020/01/03,2,pistachio,3.98
U2D3B2Y3F2,Main Street,2020/01/03,2,blueberry,3.98
U3Z9X3X9Q3,Main Street,2020/01/03,1,vanilla,1.59
U4V1A4E1F4,Ice Cream Bazaar,2020/01/03,1,chocolate,1.99
U5Q0M5Q0I5,Ice Cream Bazaar,2020/01/03,2,strawberry,3.18
U6J8E6S8Q6,The Arcade,2020/01/03,2,pistachio,3.98
U7F0T7I0U7,The Arcade,2020/01/03,2,vanilla,3.18
V4F1W4W1L4,The Arcade,2020/01/03,2,pistachio,3.98
V8G9Q8H9U8,Main Street,2020/01/03,2,blueberry,3.98
W0C6N0Q6H0,Main Street,2020/01/03,1,pistachio,1.99
W1B5Q1U5D1,Evergreen Market,2020/01/03,3,strawberry,4.77
W5B9E5W9F5,Main Street,2020/01/03,1,caramel,1.99
W5X5V5C5F5,Evergreen Market,2020/01/03,2,strawberry,3.18
W7N0S7D0J7,Main Street,2020/01/03,1,vanilla,1.59
X2Z8N2U8I2,Main Street,2020/01/03,1,vanilla,1.59
X8K7P8W7B8,The Arcade,2020/01/03,2,chocolate,3.98
Y2L4O2J4M2,The Arcade,2020/01/03,3,strawberry,4.77
Y3Z6Y3E6I3,Evergreen Market,2020/01/03,3,strawberry,4.77
Y7Z2T7Y2V7,Evergreen Market,2020/01/03,3,chocolate,5.97
Z0W4N0K4J0,The Arcade,2020/01/03,1,caramel,1.99
Z1U2H1X2H1,Evergreen Market,2020/01/03,4,strawberry,6.36
Z3A8Y3V8I3,Main Street,2020/01/03,1,chocolate,1.99
Z3I8F3O8W3,Ice Cream Bazaar,2020/01/03,4,chocolate,7.96
Z5J6Z5D6P5,Ice Cream Bazaar,2020/01/03,4,caramel,7.96
Z8I1R8C1L8,Main Street,2020/01/03,1,vanilla,1.59
A1I8B1A8C1,The Arcade,2020/01/04,3,pistachio,5.97
A2H2M2P2H2,Evergreen Market,2020/01/04,3,strawberry,4.77
A2N5T2L5C2,Main Street,2020/01/04,1,pistachio,1.99
A6G5G6M5R6,The Arcade,2020/01/04,2,pistachio,3.98
B0N2Y0N2G0,Evergreen Market,2020/01/04,2,vanilla,3.18
B1G9X1N9N1,The Arcade,2020/01/04,1,blueberry,1.99
B4E2K4K2T4,Evergreen Market,2020/01/04,3,pistachio,5.97
B4L1W4O1V4,Evergreen Market,2020/01/04,3,chocolate,5.97
B4L7R4M7R4,Evergreen Market,2020/01/04,2,strawberry,3.18
B9Y2T9Y2N9,Evergreen Market,2020/01/04,3,blueberry,5.97
C0C4G0E4J0,Evergreen Market,2020/01/04,4,blueberry,7.96
C1N7U1H7S1,Main Street,2020/01/04,1,chocolate,1.99
C2Y5W2A5J2,Ice Cream Bazaar,2020/01/04,4,pistachio,7.96
C3O8W3S8G3,Evergreen Market,2020/01/04,4,vanilla,6.36
C6Q6Z6C6P6,Main Street,2020/01/04,5,chocolate,9.95
D7Q6K7U6S7,Main Street,2020/01/04,3,strawberry,4.77
D8Z1S8N1B8,Ice Cream Bazaar,2020/01/04,1,pistachio,1.99
D9K8U9P8C9,Ice Cream Bazaar,2020/01/04,4,blueberry,7.96
E2K6X2M6T2,Evergreen Market,2020/01/04,5,pistachio,9.95
E3A8F3V8G3,Ice Cream Bazaar,2020/01/04,4,vanilla,6.36
E5Y6R5D6C5,Main Street,2020/01/04,2,vanilla,3.18
E7C4I7G4Y7,Ice Cream Bazaar,2020/01/04,2,vanilla,3.18
E8A3E8V3J8,The Arcade,2020/01/04,2,blueberry,3.98
F0O5V0T5J0,Ice Cream Bazaar,2020/01/04,2,pistachio,3.98
F1C3W1O3G1,Ice Cream Bazaar,2020/01/04,1,strawberry,1.59
F1P2H1R2V1,Ice Cream Bazaar,2020/01/04,1,blueberry,1.99
F2M6Q2Q6V2,Ice Cream Bazaar,2020/01/04,2,chocolate,3.98
F3N8D3I8A3,Evergreen Market,2020/01/04,2,blueberry,3.98
F4W3X4X3L4,Main Street,2020/01/04,3,vanilla,4.77
F5J8V5Z8W5,The Arcade,2020/01/04,5,pistachio,9.95
F6B2S6V2O6,The Arcade,2020/01/04,3,pistachio,5.97
F6K8R6P8X6,Main Street,2020/01/04,2,vanilla,3.18
F9P2S9E2T9,The Arcade,2020/01/04,2,blueberry,3.98
G2W6P2L6W2,Ice Cream Bazaar,2020/01/04,1,pistachio,1.99
G5H2X5Y2B5,The Arcade,2020/01/04,6,pistachio,11.94
G7R7H7Z7D7,Ice Cream Bazaar,2020/01/04,4,strawberry,6.36
G8N8S8N8B8,Evergreen Market,2020/01/04,1,vanilla,1.59
H2V7K2M7Q2,Evergreen Market,2020/01/04,3,caramel,5.97
H3W9C3L9P3,Ice Cream Bazaar,2020/01/04,1,pistachio,1.99
H5B5Z5G5D5,Ice Cream Bazaar,2020/01/04,1,strawberry,1.59
H6J4W6P4B6,The Arcade,2020/01/04,1,blueberry,1.99
H6R9M6B9G6,Main Street,2020/01/04,1,pistachio,1.99
I4O2S4Y2Q4,Ice Cream Bazaar,2020/01/04,3,caramel,5.97
I5T7H5L7A5,The Arcade,2020/01/04,5,pistachio,9.95
I8W3G8X3T8,Ice Cream Bazaar,2020/01/04,4,strawberry,6.36
J3B3Y3W3X3,Evergreen Market,2020/01/04,1,vanilla,1.59
J3D5U3F5H3,Evergreen Market,2020/01/04,4,pistachio,7.96
J4K2Q4U2X4,Main Street,2020/01/04,2,caramel,3.98
J5D1M5C1Z5,Ice Cream Bazaar,2020/01/04,4,chocolate,7.96
J5K1T5S1F5,The Arcade,2020/01/04,1,vanilla,1.59
J6D0C6T0T6,The Arcade,2020/01/04,6,chocolate,11.94
J7C7A7F7N7,Main Street,2020/01/04,1,blueberry,1.99
J7W4U7J4O7,The Arcade,2020/01/04,1,pistachio,1.99
J9X6S9D6Z9,Evergreen Market,2020/01/04,4,chocolate,7.96
K6K3N6E3B6,Main Street,2020/01/04,4,blueberry,7.96
K8U6O8J6X8,Ice Cream Bazaar,2020/01/04,3,strawberry,4.77
L0B9O0F9H0,Ice Cream Bazaar,2020/01/04,6,vanilla,9.54
L2O9S2D9U2,Evergreen Market,2020/01/04,1,strawberry,1.59
L3H1H3G1W3,Main Street,2020/01/04,2,caramel,3.98
L3K5Y3A5T3,Evergreen Market,2020/01/04,1,blueberry,1.99
L4C4B4F4K4,The Arcade,2020/01/04,2,vanilla,3.18
L6T2I6A2Y6,Evergreen Market,2020/01/04,2,pistachio,3.98
L8B4D8Q4S8,Evergreen Market,2020/01/04,2,caramel,3.98
M0R2Q0F2U0,Main Street,2020/01/04,2,blueberry,3.98
M1K3A1C3N1,Evergreen Market,2020/01/04,2,strawberry,3.18
M2K0O2D0V2,Ice Cream Bazaar,2020/01/04,3,strawberry,4.77
M4T2D4F2T4,Ice Cream Bazaar,2020/01/04,3,strawberry,4.77
M5V2X5Y2F5,Ice Cream Bazaar,2020/01/04,3,vanilla,4.77
M6S1T6Q1P6,Main Street,2020/01/04,2,chocolate,3.98
M7B2B7W2L7,Evergreen Market,2020/01/04,3,pistachio,5.97
M9F4V9M4D9,Main Street,2020/01/04,3,caramel,5.97
N1Q8P1T8R1,Ice Cream Bazaar,2020/01/04,1,caramel,1.99
N3Z2D3Z2T3,The Arcade,2020/01/04,2,strawberry,3.18
N6H0L6S0G6,The Arcade,2020/01/04,6,blueberry,11.94
N9A4N9U4F9,Main Street,2020/01/04,3,strawberry,4.77
N9E8U9V8Y9,Evergreen Market,2020/01/04,4,caramel,7.96
N9P1O9P1U9,Evergreen Market,2020/01/04,3,vanilla,4.77
O0O1N0H1G0,Evergreen Market,2020/01/04,4,pistachio,7.96
O1P2Z1S2G1,The Arcade,2020/01/04,4,caramel,7.96
O5E8J5C8I5,Main Street,2020/01/04,1,pistachio,1.99
P1A6D1C6B1,The Arcade,2020/01/04,3,vanilla,4.77
P1F7P1R7R1,Main Street,2020/01/04,4,strawberry,6.36
P5V1X5Y1P5,Main Street,2020/01/04,3,vanilla,4.77
P8B8H8E8E8,Evergreen Market,2020/01/04,2,pistachio,3.98
P8K7R8V7P8,Main Street,2020/01/04,3,chocolate,5.97
Q1U9M1F9V1,Main Street,2020/01/04,4,pistachio,7.96
Q7D1K7J1N7,Ice Cream Bazaar,2020/01/04,1,strawberry,1.59
R1F0V1V0S1,Main Street,2020/01/04,3,caramel,5.97
R2Q9B2H9N2,Ice Cream Bazaar,2020/01/04,2,strawberry,3.18
R8X3L8U3D8,Main Street,2020/01/04,4,blueberry,7.96
R9Z1M9E1D9,Evergreen Market,2020/01/04,1,blueberry,1.99
S1B1R1F1R1,Ice Cream Bazaar,2020/01/04,1,pistachio,1.99
S1O0G1C0F1,Ice Cream Bazaar,2020/01/04,2,vanilla,3.18
S1S1U1J1I1,Evergreen Market,2020/01/04,3,blueberry,5.97
S1Y1S1V1R1,The Arcade,2020/01/04,3,blueberry,5.97
S5R5O5N5V5,Main Street,2020/01/04,3,vanilla,4.77
S7L6C7Y6I7,The Arcade,2020/01/04,2,vanilla,3.18
S7M6Z7J6J7,Ice Cream Bazaar,2020/01/04,1,caramel,1.99
S7Y6B7F6Y7,Ice Cream Bazaar,2020/01/04,2,chocolate,3.98
T3N9A3Z9Y3,Evergreen Market,2020/01/04,1,pistachio,1.99
T3P3L3L3J3,Main Street,2020/01/04,1,pistachio,1.99
T5T9N5C9A5,Evergreen Market,2020/01/04,5,caramel,9.95
U2H3S2J3Z2,Evergreen Market,2020/01/04,2,blueberry,3.98
U3I4G3A4O3,The Arcade,2020/01/04,5,chocolate,9.95
U3O3A3U3M3,Ice Cream Bazaar,2020/01/04,3,blueberry,5.97
U4R5E4W5U4,The Arcade,2020/01/04,2,chocolate,3.98
U4S1W4V1D4,Ice Cream Bazaar,2020/01/04,1,vanilla,1.59
U5S0H5Q0D5,Evergreen Market,2020/01/04,2,blueberry,3.98
V0K8W0J8O0,Ice Cream Bazaar,2020/01/04,6,pistachio,11.94
V3C9Y3T9Q3,Main Street,2020/01/04,4,strawberry,6.36
V6G5M6X5U6,The Arcade,2020/01/04,4,strawberry,6.36
V9B7H9M7U9,Ice Cream Bazaar,2020/01/04,2,chocolate,3.98
